username,repo_name,stars,repo_url
mrdoob,three.js,75800,https://www.github.com/mrdoob/three.js
libgdx,libgdx,19200,https://www.github.com/libgdx/libgdx
pmndrs,react-three-fiber,15600,https://www.github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,15200,https://www.github.com/BabylonJS/Babylon.js
aframevr,aframe,13300,https://www.github.com/aframevr/aframe
ssloy,tinyrenderer,11600,https://www.github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,11500,https://www.github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,10200,https://www.github.com/FreeCAD/FreeCAD
metafizzy,zdog,8800,https://www.github.com/metafizzy/zdog
CesiumGS,cesium,8000,https://www.github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,7300,https://www.github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7000,https://www.github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,5700,https://www.github.com/isl-org/Open3D
spritejs,spritejs,4700,https://www.github.com/spritejs/spritejs
domlysz,BlenderGIS,4500,https://www.github.com/domlysz/BlenderGIS
tensorspace-team,tensorspace,4500,https://www.github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4500,https://www.github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4400,https://www.github.com/YadiraF/PRNet
openscad,openscad,4400,https://www.github.com/openscad/openscad
AaronJackson,vrn,4400,https://www.github.com/AaronJackson/vrn
ssloy,tinyraytracer,3900,https://www.github.com/ssloy/tinyraytracer
blender,blender,3800,https://www.github.com/blender/blender
mosra,magnum,3700,https://www.github.com/mosra/magnum
google,model-viewer,3600,https://www.github.com/google/model-viewer
gfxfundamentals,webgl-fundamentals,3300,https://www.github.com/gfxfundamentals/webgl-fundamentals
cleardusk,3DDFA,3100,https://www.github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3100,https://www.github.com/jasonlong/isometric-contributions
rg3dengine,rg3d,2900,https://www.github.com/rg3dengine/rg3d
cnr-isti-vclab,meshlab,2500,https://www.github.com/cnr-isti-vclab/meshlab
antvis,L7,2500,https://www.github.com/antvis/L7
