username,repo_name,stars,repo_url
public-apis,public-apis,167000,https://www.github.com/public-apis/public-apis
httpie,httpie,52800,https://www.github.com/httpie/httpie
neovim,neovim,48500,https://www.github.com/neovim/neovim
strapi,strapi,40900,https://www.github.com/strapi/strapi
tiangolo,fastapi,38000,https://www.github.com/tiangolo/fastapi
slatedocs,slate,33300,https://www.github.com/slatedocs/slate
hoppscotch,hoppscotch,32700,https://www.github.com/hoppscotch/hoppscotch
hasura,graphql-engine,24500,https://www.github.com/hasura/graphql-engine
YMFE,yapi,23000,https://www.github.com/YMFE/yapi
encode,django-rest-framework,22200,https://www.github.com/encode/django-rest-framework
ccxt,ccxt,22000,https://www.github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,21900,https://www.github.com/Binaryify/NeteaseCloudMusicApi
littlecodersh,ItChat,21800,https://www.github.com/littlecodersh/ItChat
paularmstrong,normalizr,20700,https://www.github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20000,https://www.github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,18500,https://www.github.com/Kong/insomnia
microsoft,api-guidelines,17800,https://www.github.com/microsoft/api-guidelines
pubkey,rxdb,16500,https://www.github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,16100,https://www.github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13500,https://www.github.com/learn-anything/learn-anything
youfou,wxpy,13000,https://www.github.com/youfou/wxpy
directus,directus,12800,https://www.github.com/directus/directus
jsdoc,jsdoc,12500,https://www.github.com/jsdoc/jsdoc
BrainJS,brain.js,12300,https://www.github.com/BrainJS/brain.js
ChainSafe,web3.js,12000,https://www.github.com/ChainSafe/web3.js
graphile,postgraphile,10800,https://www.github.com/graphile/postgraphile
micro,micro,10700,https://www.github.com/micro/micro
go-chi,chi,10400,https://www.github.com/go-chi/chi
postmanlabs,httpbin,10300,https://www.github.com/postmanlabs/httpbin
OpenAPITools,openapi-generator,10300,https://www.github.com/OpenAPITools/openapi-generator
