username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,10000.0,https://www.github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9800.0,https://www.github.com/dotnet/AspNetCore.Docs
bitwarden,server,8600.0,https://www.github.com/bitwarden/server
nopSolutions,nopCommerce,6700.0,https://www.github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6000.0,https://www.github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4800.0,https://www.github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4300.0,https://www.github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2500.0,https://www.github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2300.0,https://www.github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2100.0,https://www.github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1800.0,https://www.github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1500.0,https://www.github.com/TrilonIO/aspnetcore-angular-universal
mjebrahimi,Awesome-Microservices-NetCore,1400.0,https://www.github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-Vue-starter,1200.0,https://www.github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1200.0,https://www.github.com/lampo1024/DncZeus
MarimerLLC,csla,,https://www.github.com/MarimerLLC/csla
riganti,dotvvm,,https://www.github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,,https://www.github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,,https://www.github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,,https://www.github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,,https://www.github.com/brthor/Gofer.NET
YAFNET,YAFNET,,https://www.github.com/YAFNET/YAFNET
Maarten88,rrod,,https://www.github.com/Maarten88/rrod
SapphireDb,SapphireDb,,https://www.github.com/SapphireDb/SapphireDb
IvanJosipovic,BlazorTable,,https://www.github.com/IvanJosipovic/BlazorTable
Taritsyn,WebMarkupMin,,https://www.github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,,https://www.github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,,https://www.github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,,https://www.github.com/ALMMa/datatables.aspnet
cornflourblue,aspnet-core-jwt-authentication-api,,https://www.github.com/cornflourblue/aspnet-core-jwt-authentication-api
