username,repo_name,stars,repo_url
metafizzy,infinite-scroll,7000.0,https://www.github.com/metafizzy/infinite-scroll
ljianshu,Blog,6800.0,https://www.github.com/ljianshu/Blog
developit,unfetch,5200.0,https://www.github.com/developit/unfetch
jquery-form,form,5100.0,https://www.github.com/jquery-form/form
olifolkerd,tabulator,4300.0,https://www.github.com/olifolkerd/tabulator
Studio-42,elFinder,4200.0,https://www.github.com/Studio-42/elFinder
ded,reqwest,2900.0,https://www.github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2700.0,https://www.github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,2400.0,https://www.github.com/LeaVerou/bliss
elbywan,wretch,2300.0,https://www.github.com/elbywan/wretch
noelboss,featherlight,2000.0,https://www.github.com/noelboss/featherlight
wendux,Ajax-hook,1900.0,https://www.github.com/wendux/Ajax-hook
craftpip,jquery-confirm,1800.0,https://www.github.com/craftpip/jquery-confirm
yisainan,web-interview,1700.0,https://www.github.com/yisainan/web-interview
ptaoussanis,sente,1600.0,https://www.github.com/ptaoussanis/sente
joaomilho,Enterprise,1500.0,https://www.github.com/joaomilho/Enterprise
nette,tracy,1500.0,https://www.github.com/nette/tracy
u014427391,jeeplatform,1300.0,https://www.github.com/u014427391/jeeplatform
MoOx,pjax,1200.0,https://www.github.com/MoOx/pjax
loadingio,css-spinner,1200.0,https://www.github.com/loadingio/css-spinner
codingforentrepreneurs,eCommerce,1200.0,https://www.github.com/codingforentrepreneurs/eCommerce
danielm,uploader,1100.0,https://www.github.com/danielm/uploader
renderedtext,render_async,1000.0,https://www.github.com/renderedtext/render_async
swlib,saber,,https://www.github.com/swlib/saber
webcreate,infinite-ajax-scroll,,https://www.github.com/webcreate/infinite-ajax-scroll
proyecto26,RestClient,,https://www.github.com/proyecto26/RestClient
opensource-socialnetwork,opensource-socialnetwork,,https://www.github.com/opensource-socialnetwork/opensource-socialnetwork
rapidjs,rapid.js,,https://www.github.com/rapidjs/rapid.js
k8w,tsrpc,,https://www.github.com/k8w/tsrpc
csxiaoyaojianxian,JavaScriptStudy,,https://www.github.com/csxiaoyaojianxian/JavaScriptStudy
