username,repo_name,stars,repo_url
jwasham,coding-interview-university,197000,https://www.github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,142000,https://www.github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,127000,https://www.github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,124000,https://www.github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,60900,https://www.github.com/yangshun/tech-interview-handbook
kdn251,interviews,54600,https://www.github.com/kdn251/interviews
azl397985856,leetcode,45100,https://www.github.com/azl397985856/leetcode
TheAlgorithms,Java,42300,https://www.github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,35800,https://www.github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26500,https://www.github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,24100,https://www.github.com/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,21600,https://www.github.com/halfrost/LeetCode-Go
huihut,interview,21200,https://www.github.com/huihut/interview
keon,algorithms,20000,https://www.github.com/keon/algorithms
trekhleb,homemade-machine-learning,18500,https://www.github.com/trekhleb/homemade-machine-learning
youngyangyang04,leetcode-master,18200,https://www.github.com/youngyangyang04/leetcode-master
mxgmn,WaveFunctionCollapse,17000,https://www.github.com/mxgmn/WaveFunctionCollapse
TheAlgorithms,C-Plus-Plus,16700,https://www.github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,Javascript,15900,https://www.github.com/TheAlgorithms/Javascript
AtsushiSakai,PythonRobotics,13600,https://www.github.com/AtsushiSakai/PythonRobotics
OpenGenus,cosmos,12900,https://www.github.com/OpenGenus/cosmos
greyireland,algorithm-pattern,12800,https://www.github.com/greyireland/algorithm-pattern
williamfiset,Algorithms,11300,https://www.github.com/williamfiset/Algorithms
apachecn,apachecn-algo-zh,10500,https://www.github.com/apachecn/apachecn-algo-zh
halfrost,Halfrost-Field,10200,https://www.github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,9000,https://www.github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8300,https://www.github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7400,https://www.github.com/jeffgerickson/algorithms
LeetCode-OpenSource,vscode-leetcode,6900,https://www.github.com/LeetCode-OpenSource/vscode-leetcode
mgechev,javascript-algorithms,6900,https://www.github.com/mgechev/javascript-algorithms
