username,repo_name,stars,repo_url
serverless,serverless,41300,https://www.github.com/serverless/serverless
localstack,localstack,36500,https://www.github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,21800,https://www.github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,19100,https://www.github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12200,https://www.github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,11700,https://www.github.com/aws/aws-cli
kubernetes-sigs,kubespray,11400,https://www.github.com/kubernetes-sigs/kubespray
pulumi,pulumi,10500,https://www.github.com/pulumi/pulumi
donnemartin,awesome-aws,9800,https://www.github.com/donnemartin/awesome-aws
apereo,cas,9100,https://www.github.com/apereo/cas
mozilla,sops,8600,https://www.github.com/mozilla/sops
aws-amplify,amplify-js,8500,https://www.github.com/aws-amplify/amplify-js
aws,chalice,8400,https://www.github.com/aws/chalice
apex,up,8400,https://www.github.com/apex/up
aws,serverless-application-model,8300,https://www.github.com/aws/serverless-application-model
google,go-cloud,8100,https://www.github.com/google/go-cloud
caprover,caprover,7800,https://www.github.com/caprover/caprover
aws,aws-cdk,7800,https://www.github.com/aws/aws-cdk
aws,aws-sdk-go,7200,https://www.github.com/aws/aws-sdk-go
angristan,openvpn-install,7000,https://www.github.com/angristan/openvpn-install
boto,boto3,6800,https://www.github.com/boto/boto3
aws,aws-sdk-js,6800,https://www.github.com/aws/aws-sdk-js
hashicorp,terraform-provider-aws,6500,https://www.github.com/hashicorp/terraform-provider-aws
awslabs,aws-shell,6300,https://www.github.com/awslabs/aws-shell
aws,amazon-sagemaker-examples,6200,https://www.github.com/aws/amazon-sagemaker-examples
GoogleCloudPlatform,terraformer,6100,https://www.github.com/GoogleCloudPlatform/terraformer
aws,aws-sam-cli,5800,https://www.github.com/aws/aws-sam-cli
gruntwork-io,terratest,5700,https://www.github.com/gruntwork-io/terratest
donnemartin,dev-setup,5600,https://www.github.com/donnemartin/dev-setup
99designs,aws-vault,5500,https://www.github.com/99designs/aws-vault
