username,repo_name,stars,repo_url
flutter,flutter,132000,https://www.github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,84200,https://www.github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,57000,https://www.github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,47600,https://www.github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,44300,https://www.github.com/google/material-design-icons
wasabeef,awesome-android-ui,41600,https://www.github.com/wasabeef/awesome-android-ui
square,okhttp,41100,https://www.github.com/square/okhttp
android,architecture-samples,39700,https://www.github.com/android/architecture-samples
square,retrofit,39000,https://www.github.com/square/retrofit
Solido,awesome-flutter,38200,https://www.github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,34200,https://www.github.com/PhilJay/MPAndroidChart
fastlane,fastlane,33200,https://www.github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,32100,https://www.github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,32000,https://www.github.com/airbnb/lottie-android
bumptech,glide,31900,https://www.github.com/bumptech/glide
Trinea,android-open-project,30800,https://www.github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30100,https://www.github.com/Blankj/AndroidUtilCode
xitu,gold-miner,29700,https://www.github.com/xitu/gold-miner
bilibili,ijkplayer,29600,https://www.github.com/bilibili/ijkplayer
zxing,zxing,28600,https://www.github.com/zxing/zxing
skylot,jadx,27700,https://www.github.com/skylot/jadx
codepath,android_guides,27600,https://www.github.com/codepath/android_guides
square,leakcanary,26900,https://www.github.com/square/leakcanary
laurent22,joplin,26300,https://www.github.com/laurent22/joplin
alibaba,fastjson,23900,https://www.github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23100,https://www.github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22400,https://www.github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21600,https://www.github.com/react-native-elements/react-native-elements
google,iosched,20900,https://www.github.com/google/iosched
NativeScript,NativeScript,20600,https://www.github.com/NativeScript/NativeScript
