username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,84200,https://www.github.com/justjavac/free-programming-books-zh_CN
angular,angular,77700,https://www.github.com/angular/angular
storybookjs,storybook,66000,https://www.github.com/storybookjs/storybook
ionic-team,ionic-framework,45600,https://www.github.com/ionic-team/ionic-framework
leonardomso,33-js-concepts,45100,https://www.github.com/leonardomso/33-js-concepts
prettier,prettier,41000,https://www.github.com/prettier/prettier
SheetJS,sheetjs,28100,https://www.github.com/SheetJS/sheetjs
angular,angular-cli,25000,https://www.github.com/angular/angular-cli
angular,components,22300,https://www.github.com/angular/components
NativeScript,NativeScript,20600,https://www.github.com/NativeScript/NativeScript
Eugeny,tabby,20000,https://www.github.com/Eugeny/tabby
jhipster,generator-jhipster,19000,https://www.github.com/jhipster/generator-jhipster
pubkey,rxdb,16500,https://www.github.com/pubkey/rxdb
handsontable,handsontable,15900,https://www.github.com/handsontable/handsontable
teambit,bit,14300,https://www.github.com/teambit/bit
sweetalert2,sweetalert2,13800,https://www.github.com/sweetalert2/sweetalert2
goldbergyoni,javascript-testing-best-practices,13700,https://www.github.com/goldbergyoni/javascript-testing-best-practices
linnovate,mean,12100,https://www.github.com/linnovate/mean
codesandbox,codesandbox-client,11000,https://www.github.com/codesandbox/codesandbox-client
coreui,coreui-free-bootstrap-admin-template,11000,https://www.github.com/coreui/coreui-free-bootstrap-admin-template
PatrickJS,angular-starter,10400,https://www.github.com/PatrickJS/angular-starter
Chocobozzz,PeerTube,9900,https://www.github.com/Chocobozzz/PeerTube
nrwl,nx,9200,https://www.github.com/nrwl/nx
angular,protractor,8800,https://www.github.com/angular/protractor
OnsenUI,OnsenUI,8500,https://www.github.com/OnsenUI/OnsenUI
PatrickJS,awesome-angular,8100,https://www.github.com/PatrickJS/awesome-angular
text-mask,text-mask,8100,https://www.github.com/text-mask/text-mask
ng-bootstrap,ng-bootstrap,7800,https://www.github.com/ng-bootstrap/ng-bootstrap
dotansimha,graphql-code-generator,7800,https://www.github.com/dotansimha/graphql-code-generator
NG-ZORRO,ng-zorro-antd,7800,https://www.github.com/NG-ZORRO/ng-zorro-antd
