username,repo_name,stars,repo_url
arendst,Tasmota,16400,https://www.github.com/arendst/Tasmota
rwaldron,johnny-five,12500,https://www.github.com/rwaldron/johnny-five
arduino,Arduino,12200,https://www.github.com/arduino/Arduino
MarlinFirmware,Marlin,12100,https://www.github.com/MarlinFirmware/Marlin
SpacehuhnTech,esp8266_deauther,9200,https://www.github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,8900,https://www.github.com/tinygo-org/tinygo
espressif,arduino-esp32,7600,https://www.github.com/espressif/arduino-esp32
hybridgroup,gobot,7400,https://www.github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7100,https://www.github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,5500,https://www.github.com/platformio/platformio-core
bblanchon,ArduinoJson,5400,https://www.github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,4900,https://www.github.com/tzapu/WiFiManager
hybridgroup,cylon,3800,https://www.github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3400,https://www.github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3300,https://www.github.com/blynkkk/blynk-library
arduino,arduino-cli,3100,https://www.github.com/arduino/arduino-cli
NectarJS,nectarjs,3100,https://www.github.com/NectarJS/nectarjs
olikraus,u8g2,2700,https://www.github.com/olikraus/u8g2
gioblu,PJON,2600,https://www.github.com/gioblu/PJON
1technophile,OpenMQTTGateway,2400,https://www.github.com/1technophile/OpenMQTTGateway
scottlawsonbc,audio-reactive-led-strip,2200,https://www.github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,2000,https://www.github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,1900,https://www.github.com/crankyoldgit/IRremoteESP8266
Serial-Studio,Serial-Studio,1900,https://www.github.com/Serial-Studio/Serial-Studio
scottbez1,splitflap,1900,https://www.github.com/scottbez1/splitflap
nRF24,RF24,1800,https://www.github.com/nRF24/RF24
stm32duino,Arduino_Core_STM32,1700,https://www.github.com/stm32duino/Arduino_Core_STM32
blinker-iot,blinker-library,1600,https://www.github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1600,https://www.github.com/ThingPulse/esp8266-oled-ssd1306
Bodmer,TFT_eSPI,1500,https://www.github.com/Bodmer/TFT_eSPI
