username,repo_name,stars,repo_url
atom,atom,56300.0,https://www.github.com/atom/atom
themerdev,themer,4500.0,https://www.github.com/themerdev/themer
nteract,hydrogen,3800.0,https://www.github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3400.0,https://www.github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,3200.0,https://www.github.com/miniflux/v2
atom,teletype,2300.0,https://www.github.com/atom/teletype
mehcode,awesome-atom,1900.0,https://www.github.com/mehcode/awesome-atom
mmcdole,gofeed,1700.0,https://www.github.com/mmcdole/gofeed
joefitzgerald,go-plus,1500.0,https://www.github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500.0,https://www.github.com/Glavin001/atom-beautify
simplepie,simplepie,1400.0,https://www.github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,1400.0,https://www.github.com/t9md/atom-vim-mode-plus
ocaml,merlin,1400.0,https://www.github.com/ocaml/merlin
kurtmckee,feedparser,1300.0,https://www.github.com/kurtmckee/feedparser
MagicStack,MagicPython,1300.0,https://www.github.com/MagicStack/MagicPython
atom,apm,1200.0,https://www.github.com/atom/apm
file-icons,atom,1200.0,https://www.github.com/file-icons/atom
kettanaito,atomic-layout,1000.0,https://www.github.com/kettanaito/atomic-layout
atom,github,,https://www.github.com/atom/github
nmdias,FeedKit,,https://www.github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,,https://www.github.com/nathanbuchar/atom-one-dark-terminal
danhper,atomic-chrome,,https://www.github.com/danhper/atomic-chrome
jesseweed,seti-ui,,https://www.github.com/jesseweed/seti-ui
fwcd,kotlin-language-server,,https://www.github.com/fwcd/kotlin-language-server
prettier,prettier-atom,,https://www.github.com/prettier/prettier-atom
raphamorim,lucario,,https://www.github.com/raphamorim/lucario
atom-community,atom-script,,https://www.github.com/atom-community/atom-script
jasonmunro,cypht,,https://www.github.com/jasonmunro/cypht
jekyll,jekyll-feed,,https://www.github.com/jekyll/jekyll-feed
lwindolf,liferea,,https://www.github.com/lwindolf/liferea
