username,repo_name,stars,repo_url
bregman-arie,devops-exercises,19100,https://www.github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12200,https://www.github.com/ramitsurana/awesome-kubernetes
microsoft,recommenders,11600,https://www.github.com/microsoft/recommenders
Azure,azure-quickstart-templates,11000,https://www.github.com/Azure/azure-quickstart-templates
pulumi,pulumi,10500,https://www.github.com/pulumi/pulumi
mozilla,sops,8600,https://www.github.com/mozilla/sops
microsoft,computervision-recipes,8200,https://www.github.com/microsoft/computervision-recipes
google,go-cloud,8100,https://www.github.com/google/go-cloud
caprover,caprover,7800,https://www.github.com/caprover/caprover
microsoft,azuredatastudio,6600,https://www.github.com/microsoft/azuredatastudio
node-formidable,formidable,6100,https://www.github.com/node-formidable/formidable
midwayjs,midway,5000,https://www.github.com/midwayjs/midway
infracost,infracost,4400,https://www.github.com/infracost/infracost
thangchung,clean-code-dotnet,4300,https://www.github.com/thangchung/clean-code-dotnet
budtmo,docker-android,3900,https://www.github.com/budtmo/docker-android
cloud-custodian,cloud-custodian,3900,https://www.github.com/cloud-custodian/cloud-custodian
nccgroup,ScoutSuite,3700,https://www.github.com/nccgroup/ScoutSuite
aquasecurity,tfsec,3500,https://www.github.com/aquasecurity/tfsec
simov,grant,3500,https://www.github.com/simov/grant
bridgecrewio,checkov,3400,https://www.github.com/bridgecrewio/checkov
Qovery,engine,3400,https://www.github.com/Qovery/engine
Azure,azure-sdk-for-net,3000,https://www.github.com/Azure/azure-sdk-for-net
hashicorp,terraform-provider-azurerm,3000,https://www.github.com/hashicorp/terraform-provider-azurerm
Azure,azure-cli,2800,https://www.github.com/Azure/azure-cli
Azure,azure-powershell,2800,https://www.github.com/Azure/azure-powershell
Azure,MachineLearningNotebooks,2800,https://www.github.com/Azure/MachineLearningNotebooks
mlabouardy,komiser,2700,https://www.github.com/mlabouardy/komiser
APIs-guru,openapi-directory,2600,https://www.github.com/APIs-guru/openapi-directory
microsoft,SynapseML,2500,https://www.github.com/microsoft/SynapseML
smartstore,SmartStoreNET,2300,https://www.github.com/smartstore/SmartStoreNET
