username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,98300,https://www.github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,53000,https://www.github.com/nvm-sh/nvm
junegunn,fzf,40300,https://www.github.com/junegunn/fzf
dylanaraps,pure-bash-bible,28000,https://www.github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,27100,https://www.github.com/mathiasbynens/dotfiles
koalaman,shellcheck,26800,https://www.github.com/koalaman/shellcheck
LeCoupa,awesome-cheatsheets,25600,https://www.github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,24300,https://www.github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22400,https://www.github.com/alebcay/awesome-shell
starship,starship,19700,https://www.github.com/starship/starship
jaywcjlove,linux-command,17200,https://www.github.com/jaywcjlove/linux-command
Nyr,openvpn-install,14000,https://www.github.com/Nyr/openvpn-install
dylanaraps,neofetch,13400,https://www.github.com/dylanaraps/neofetch
powerline,powerline,12900,https://www.github.com/powerline/powerline
shelljs,shelljs,12800,https://www.github.com/shelljs/shelljs
Bash-it,bash-it,12600,https://www.github.com/Bash-it/bash-it
jessfraz,dockerfiles,12100,https://www.github.com/jessfraz/dockerfiles
faressoft,terminalizer,12100,https://www.github.com/faressoft/terminalizer
denisidoro,navi,9900,https://www.github.com/denisidoro/navi
codota,TabNine,8800,https://www.github.com/codota/TabNine
rgcr,m-cli,8600,https://www.github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8500,https://www.github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8200,https://www.github.com/kanaka/mal
direnv,direnv,8100,https://www.github.com/direnv/direnv
skywind3000,awesome-cheatsheets,7800,https://www.github.com/skywind3000/awesome-cheatsheets
withfig,autocomplete,7100,https://www.github.com/withfig/autocomplete
angristan,openvpn-install,7000,https://www.github.com/angristan/openvpn-install
carlospolop,PEASS-ng,6900,https://www.github.com/carlospolop/PEASS-ng
Mayccoll,Gogh,6400,https://www.github.com/Mayccoll/Gogh
extrawurst,gitui,6300,https://www.github.com/extrawurst/gitui
