username,repo_name,stars,repo_url
bitcoin,bitcoin,59000,https://www.github.com/bitcoin/bitcoin
ccxt,ccxt,22000,https://www.github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17200,https://www.github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,13200,https://www.github.com/freqtrade/freqtrade
askmike,gekko,9800,https://www.github.com/askmike/gekko
bbfamily,abu,8500,https://www.github.com/bbfamily/abu
lbryio,lbry-sdk,7200,https://www.github.com/lbryio/lbry-sdk
dvf,blockchain,6400,https://www.github.com/dvf/blockchain
yeasy,blockchain_guide,5800,https://www.github.com/yeasy/blockchain_guide
lightningnetwork,lnd,5500,https://www.github.com/lightningnetwork/lnd
solana-labs,solana,5500,https://www.github.com/solana-labs/solana
butor,blackbird,5400,https://www.github.com/butor/blackbird
spesmilo,electrum,5300,https://www.github.com/spesmilo/electrum
btcsuite,btcd,4500,https://www.github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4400,https://www.github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4100,https://www.github.com/bitcoinj/bitcoinj
bisq-network,bisq,3700,https://www.github.com/bisq-network/bisq
michaelgrosner,tribeca,3600,https://www.github.com/michaelgrosner/tribeca
CryptoSignal,Crypto-Signal,3600,https://www.github.com/CryptoSignal/Crypto-Signal
Scanate,EthList,3500,https://www.github.com/Scanate/EthList
RomelTorres,alpha_vantage,3500,https://www.github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3400,https://www.github.com/Zheaoli/awesome-coins
coinpride,CryptoList,3400,https://www.github.com/coinpride/CryptoList
bitpay,wallet,3300,https://www.github.com/bitpay/wallet
SqueezerIO,squeezer,3200,https://www.github.com/SqueezerIO/squeezer
jesse-ai,jesse,3200,https://www.github.com/jesse-ai/jesse
Jeiwan,blockchain_go,3100,https://www.github.com/Jeiwan/blockchain_go
btcpayserver,btcpayserver,3100,https://www.github.com/btcpayserver/btcpayserver
cointop-sh,cointop,2800,https://www.github.com/cointop-sh/cointop
lbryio,lbrycrd,2800,https://www.github.com/lbryio/lbrycrd
