username,repo_name,stars,repo_url
ccxt,ccxt,22000,https://www.github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,16900,https://www.github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,16200,https://www.github.com/discordjs/discord.js
hubotio,hubot,16000,https://www.github.com/hubotio/hubot
timgrossmann,InstaPy,13400,https://www.github.com/timgrossmann/InstaPy
RasaHQ,rasa,13000,https://www.github.com/RasaHQ/rasa
gunthercox,ChatterBot,11700,https://www.github.com/gunthercox/ChatterBot
howdyai,botkit,10500,https://www.github.com/howdyai/botkit
botpress,botpress,9400,https://www.github.com/botpress/botpress
sfyc23,EverydayWechat,8600,https://www.github.com/sfyc23/EverydayWechat
tgbot-collection,YYeTsBot,8100,https://www.github.com/tgbot-collection/YYeTsBot
leon-ai,leon,8100,https://www.github.com/leon-ai/leon
EZFNDEV,EZFN-Lobbybot,6900,https://www.github.com/EZFNDEV/EZFN-Lobbybot
microsoft,ailab,6800,https://www.github.com/microsoft/ailab
microsoft,botframework-sdk,6700,https://www.github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,6000,https://www.github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,5700,https://www.github.com/yagop/node-telegram-bot-api
botman,botman,5500,https://www.github.com/botman/botman
deepmipt,DeepPavlov,5500,https://www.github.com/deepmipt/DeepPavlov
telegraf,telegraf,5100,https://www.github.com/telegraf/telegraf
axa-group,nlp.js,4600,https://www.github.com/axa-group/nlp.js
jef,streetmerchant,4600,https://www.github.com/jef/streetmerchant
ohld,igbot,4100,https://www.github.com/ohld/igbot
pedroslopez,whatsapp-web.js,3900,https://www.github.com/pedroslopez/whatsapp-web.js
Yoctol,bottender,3800,https://www.github.com/Yoctol/bottender
PokemonGoF,PokemonGo-Bot,3700,https://www.github.com/PokemonGoF/PokemonGo-Bot
snipsco,snips-nlu,3600,https://www.github.com/snipsco/snips-nlu
goq,telegram-list,3300,https://www.github.com/goq/telegram-list
orkestral,venom,3300,https://www.github.com/orkestral/venom
chrisleekr,binance-trading-bot,3200,https://www.github.com/chrisleekr/binance-trading-bot
