username,repo_name,stars,repo_url
CyC2018,CS-Notes,142000,https://www.github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,59100,https://www.github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,45100,https://www.github.com/azl397985856/leetcode
x64dbg,x64dbg,37700,https://www.github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,34600,https://www.github.com/fffaraz/awesome-cpp
microsoft,calculator,23100,https://www.github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,22500,https://www.github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,21200,https://www.github.com/huihut/interview
youngyangyang04,leetcode-master,18200,https://www.github.com/youngyangyang04/leetcode-master
yuzu-emu,yuzu,16900,https://www.github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,16700,https://www.github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,15500,https://www.github.com/changkun/modern-cpp-tutorial
catchorg,Catch2,14200,https://www.github.com/catchorg/Catch2
microsoft,vcpkg,14200,https://www.github.com/microsoft/vcpkg
ethereum,solidity,13100,https://www.github.com/ethereum/solidity
gabime,spdlog,13000,https://www.github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,13000,https://www.github.com/AnthonyCalandra/modern-cpp-features
facebook,infer,12700,https://www.github.com/facebook/infer
Qv2ray,Qv2ray,12700,https://www.github.com/Qv2ray/Qv2ray
CoatiSoftware,Sourcetrail,12200,https://www.github.com/CoatiSoftware/Sourcetrail
google,tink,11800,https://www.github.com/google/tink
ssloy,tinyrenderer,11600,https://www.github.com/ssloy/tinyrenderer
antlr,antlr4,11000,https://www.github.com/antlr/antlr4
SFTtech,openage,10600,https://www.github.com/SFTtech/openage
kyleneideck,BackgroundMusic,10400,https://www.github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,10000,https://www.github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9700,https://www.github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,9000,https://www.github.com/hmemcpy/milewski-ctfp-pdf
Ciphey,Ciphey,8900,https://www.github.com/Ciphey/Ciphey
codota,TabNine,8800,https://www.github.com/codota/TabNine
