username,repo_name,stars,repo_url
Genymobile,scrcpy,57000,https://www.github.com/Genymobile/scrcpy
neovim,neovim,48500,https://www.github.com/neovim/neovim
git,git,40100,https://www.github.com/git/git
fffaraz,awesome-cpp,34600,https://www.github.com/fffaraz/awesome-cpp
obsproject,obs-studio,32600,https://www.github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,28600,https://www.github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,26900,https://www.github.com/FFmpeg/FFmpeg
vim,vim,25200,https://www.github.com/vim/vim
ggreer,the_silver_searcher,22800,https://www.github.com/ggreer/the_silver_searcher
curl,curl,22500,https://www.github.com/curl/curl
huihut,interview,21200,https://www.github.com/huihut/interview
ruby,ruby,18600,https://www.github.com/ruby/ruby
google,flatbuffers,17000,https://www.github.com/google/flatbuffers
mpv-player,mpv,16700,https://www.github.com/mpv-player/mpv
pbatard,rufus,16600,https://www.github.com/pbatard/rufus
oracle,graal,16100,https://www.github.com/oracle/graal
radareorg,radare2,15200,https://www.github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14600,https://www.github.com/shadowsocks/shadowsocks-libev
microsoft,vcpkg,14200,https://www.github.com/microsoft/vcpkg
allinurl,goaccess,14000,https://www.github.com/allinurl/goaccess
vurtun,nuklear,13300,https://www.github.com/vurtun/nuklear
jarun,nnn,12900,https://www.github.com/jarun/nnn
facebook,infer,12700,https://www.github.com/facebook/infer
kovidgoyal,kitty,12600,https://www.github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,12200,https://www.github.com/CoatiSoftware/Sourcetrail
TheAlgorithms,C,11500,https://www.github.com/TheAlgorithms/C
qmk,qmk_firmware,10900,https://www.github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,10900,https://www.github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10800,https://www.github.com/hashcat/hashcat
jonas,tig,10400,https://www.github.com/jonas/tig
