username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,27700.0,https://www.github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6800.0,https://www.github.com/covid19india/covid19india-react
nytimes,covid-19-data,6600.0,https://www.github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6300.0,https://www.github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,4600.0,https://www.github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900.0,https://www.github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2700.0,https://www.github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2300.0,https://www.github.com/disease-sh/API
geohot,corona,2100.0,https://www.github.com/geohot/corona
WorldHealthOrganization,app,2100.0,https://www.github.com/WorldHealthOrganization/app
ahmadawais,corona-cli,1800.0,https://www.github.com/ahmadawais/corona-cli
corona-warn-app,cwa-server,1800.0,https://www.github.com/corona-warn-app/cwa-server
ExpDev07,coronavirus-tracker-api,1600.0,https://www.github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1500.0,https://www.github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1400.0,https://www.github.com/mhdhejazi/CoronaTracker
github,covid19-dashboard,1400.0,https://www.github.com/github/covid19-dashboard
neherlab,covid19_scenarios,1400.0,https://www.github.com/neherlab/covid19_scenarios
pomber,covid19,1200.0,https://www.github.com/pomber/covid19
datasets,covid-19,1100.0,https://www.github.com/datasets/covid-19
covidpass-org,covidpass,1100.0,https://www.github.com/covidpass-org/covidpass
FoldingAtHome,coronavirus,1100.0,https://www.github.com/FoldingAtHome/coronavirus
chrismattmann,tika-python,1100.0,https://www.github.com/chrismattmann/tika-python
chandrikadeb7,Face-Mask-Detection,1100.0,https://www.github.com/chandrikadeb7/Face-Mask-Detection
lindawangg,COVID-Net,1100.0,https://www.github.com/lindawangg/COVID-Net
cyberman54,ESP32-Paxcounter,,https://www.github.com/cyberman54/ESP32-Paxcounter
ImperialCollegeLondon,covid19model,,https://www.github.com/ImperialCollegeLondon/covid19model
UCSD-AI4H,COVID-CT,,https://www.github.com/UCSD-AI4H/COVID-CT
nychealth,coronavirus-data,,https://www.github.com/nychealth/coronavirus-data
MoH-Malaysia,covid19-public,,https://www.github.com/MoH-Malaysia/covid19-public
makers-for-life,makair,,https://www.github.com/makers-for-life/makair
