username,repo_name,stars,repo_url
electron,electron,98900,https://www.github.com/electron/electron
FiloSottile,mkcert,32600,https://www.github.com/FiloSottile/mkcert
microsoft,playwright,30500,https://www.github.com/microsoft/playwright
ovity,octotree,21600,https://www.github.com/ovity/octotree
iamadamdev,bypass-paywalls-chrome,20100,https://www.github.com/iamadamdev/bypass-paywalls-chrome
segmentio,nightmare,19000,https://www.github.com/segmentio/nightmare
jaywcjlove,linux-command,17200,https://www.github.com/jaywcjlove/linux-command
checkly,headless-recorder,13700,https://www.github.com/checkly/headless-recorder
prisma-archive,chromeless,13200,https://www.github.com/prisma-archive/chromeless
google,WebFundamentals,12300,https://www.github.com/google/WebFundamentals
casesandberg,react-color,10200,https://www.github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,9100,https://www.github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,8200,https://www.github.com/crimx/ext-saladict
uBlock-LLC,uBlock,8100,https://www.github.com/uBlock-LLC/uBlock
chromedp,chromedp,6900,https://www.github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6500,https://www.github.com/alvarcarto/url-to-pdf-api
MetaMask,metamask-extension,6000,https://www.github.com/MetaMask/metamask-extension
kangvcar,InfoSpider,5900,https://www.github.com/kangvcar/InfoSpider
Kenshin,simpread,5200,https://www.github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5100,https://www.github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,4700,https://www.github.com/MontFerret/ferret
firefox-devtools,debugger,4600,https://www.github.com/firefox-devtools/debugger
themerdev,themer,4500,https://www.github.com/themerdev/themer
burtonator,polar-bookshelf,4400,https://www.github.com/burtonator/polar-bookshelf
nieweidong,fetool,4300,https://www.github.com/nieweidong/fetool
gildas-lormeau,SingleFile,4300,https://www.github.com/gildas-lormeau/SingleFile
moonD4rk,HackBrowserData,3800,https://www.github.com/moonD4rk/HackBrowserData
brookhong,Surfingkeys,3700,https://www.github.com/brookhong/Surfingkeys
bilibili-helper,bilibili-helper-o,3700,https://www.github.com/bilibili-helper/bilibili-helper-o
melonjs,melonJS,3700,https://www.github.com/melonjs/melonJS
