username,repo_name,stars,repo_url
metabase,metabase,26500,https://www.github.com/metabase/metabase
eclipse,deeplearning4j,12200,https://www.github.com/eclipse/deeplearning4j
LightTable,LightTable,11600,https://www.github.com/LightTable/LightTable
kanaka,mal,8200,https://www.github.com/kanaka/mal
lk-geimfari,awesomo,8100,https://www.github.com/lk-geimfari/awesomo
logseq,logseq,7300,https://www.github.com/logseq/logseq
penpot,penpot,5200,https://www.github.com/penpot/penpot
tonsky,datascript,4400,https://www.github.com/tonsky/datascript
reagent-project,reagent,4300,https://www.github.com/reagent-project/reagent
riemann,riemann,4100,https://www.github.com/riemann/riemann
weavejester,compojure,3900,https://www.github.com/weavejester/compojure
bbatsov,clojure-style-guide,3700,https://www.github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3700,https://www.github.com/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,3400,https://www.github.com/ring-clojure/ring
status-im,status-react,3300,https://www.github.com/status-im/status-react
clojure-emacs,cider,3200,https://www.github.com/clojure-emacs/cider
bhauman,lein-figwheel,2900,https://www.github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2800,https://www.github.com/tallesl/Rich-Hickey-fanclub
viebel,klipse,2800,https://www.github.com/viebel/klipse
twosigma,beakerx,2600,https://www.github.com/twosigma/beakerx
pedestal,pedestal,2400,https://www.github.com/pedestal/pedestal
babashka,babashka,2400,https://www.github.com/babashka/babashka
clj-commons,aleph,2400,https://www.github.com/clj-commons/aleph
weavejester,hiccup,2300,https://www.github.com/weavejester/hiccup
razum2um,awesome-clojure,2300,https://www.github.com/razum2um/awesome-clojure
http-kit,http-kit,2200,https://www.github.com/http-kit/http-kit
onyx-platform,onyx,2000,https://www.github.com/onyx-platform/onyx
defold,defold,1900,https://www.github.com/defold/defold
anmonteiro,lumo,1900,https://www.github.com/anmonteiro/lumo
boot-clj,boot,1700,https://www.github.com/boot-clj/boot
