username,repo_name,stars,repo_url
realm,SwiftLint,15400.0,https://www.github.com/realm/SwiftLint
facebook,infer,12700.0,https://www.github.com/facebook/infer
analysis-tools-dev,static-analysis,9100.0,https://www.github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6400.0,https://www.github.com/checkstyle/checkstyle
Kristories,awesome-guidelines,6300.0,https://www.github.com/Kristories/awesome-guidelines
SonarSource,sonarqube,6300.0,https://www.github.com/SonarSource/sonarqube
facebook,pyre-check,5700.0,https://www.github.com/facebook/pyre-check
reviewdog,reviewdog,4400.0,https://www.github.com/reviewdog/reviewdog
simplecov-ruby,simplecov,4300.0,https://www.github.com/simplecov-ruby/simplecov
detekt,detekt,4100.0,https://www.github.com/detekt/detekt
PyCQA,pylint,3700.0,https://www.github.com/PyCQA/pylint
import-js,eslint-plugin-import,3700.0,https://www.github.com/import-js/eslint-plugin-import
phpro,grumphp,3600.0,https://www.github.com/phpro/grumphp
pmd,pmd,3600.0,https://www.github.com/pmd/pmd
htmlhint,HTMLHint,2700.0,https://www.github.com/htmlhint/HTMLHint
kucherenko,jscpd,2400.0,https://www.github.com/kucherenko/jscpd
codeclimate,codeclimate,2300.0,https://www.github.com/codeclimate/codeclimate
trekhleb,state-of-the-art-shitcode,2100.0,https://www.github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1800.0,https://www.github.com/uber/piranha
wemake-services,wemake-python-styleguide,1700.0,https://www.github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1200.0,https://www.github.com/ehmicky/cross-platform-node-guide
urish,typewiz,1100.0,https://www.github.com/urish/typewiz
Tencent,feflow,1100.0,https://www.github.com/Tencent/feflow
jakzal,phpqa,,https://www.github.com/jakzal/phpqa
joshuaclayton,unused,,https://www.github.com/joshuaclayton/unused
imgbot,Imgbot,,https://www.github.com/imgbot/Imgbot
pdepend,pdepend,,https://www.github.com/pdepend/pdepend
SonarSource,SonarTS,,https://www.github.com/SonarSource/SonarTS
SonarSource,SonarJS,,https://www.github.com/SonarSource/SonarJS
bufferapp,android-guidelines,,https://www.github.com/bufferapp/android-guidelines
