username,repo_name,stars,repo_url
ovity,octotree,21600.0,https://www.github.com/ovity/octotree
gitpod-io,gitpod,5900.0,https://www.github.com/gitpod-io/gitpod
danger,danger,4700.0,https://www.github.com/danger/danger
reviewdog,reviewdog,4400.0,https://www.github.com/reviewdog/reviewdog
danger,danger-js,4000.0,https://www.github.com/danger/danger-js
joho,awesome-code-review,3200.0,https://www.github.com/joho/awesome-code-review
houndci,hound,1900.0,https://www.github.com/houndci/hound
ajinabraham,nodejsscan,1900.0,https://www.github.com/ajinabraham/nodejsscan
mbj,mutant,1800.0,https://www.github.com/mbj/mutant
microsoft,vscode-pull-request-github,1800.0,https://www.github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1400.0,https://www.github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400.0,https://www.github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1000.0,https://www.github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1000.0,https://www.github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,,https://www.github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,,https://www.github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,,https://www.github.com/TeamCodeStream/codestream
enlightn,enlightn,,https://www.github.com/enlightn/enlightn
uwolfer,gerrit-intellij-plugin,,https://www.github.com/uwolfer/gerrit-intellij-plugin
palantir,policy-bot,,https://www.github.com/palantir/policy-bot
bsamseth,cpp-project,,https://www.github.com/bsamseth/cpp-project
mookid,diffr,,https://www.github.com/mookid/diffr
mgreiler,code-review-checklist,,https://www.github.com/mgreiler/code-review-checklist
sjparkinson,static-review,,https://www.github.com/sjparkinson/static-review
dpnishant,raptor,,https://www.github.com/dpnishant/raptor
burrito-brothers,shiba,,https://www.github.com/burrito-brothers/shiba
charignon,github-review,,https://www.github.com/charignon/github-review
src-d,lookout,,https://www.github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,,https://www.github.com/uwolfer/gerrit-rest-java-client
apoclyps,reviews,,https://www.github.com/apoclyps/reviews
