username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,136000,https://www.github.com/ohmyzsh/ohmyzsh
httpie,httpie,52800,https://www.github.com/httpie/httpie
junegunn,fzf,40300,https://www.github.com/junegunn/fzf
sharkdp,bat,30300,https://www.github.com/sharkdp/bat
wagoodman,dive,28400,https://www.github.com/wagoodman/dive
sherlock-project,sherlock,28100,https://www.github.com/sherlock-project/sherlock
BurntSushi,ripgrep,28000,https://www.github.com/BurntSushi/ripgrep
chubin,cheat.sh,27600,https://www.github.com/chubin/cheat.sh
cli,cli,26200,https://www.github.com/cli/cli
angular,angular-cli,25000,https://www.github.com/angular/angular-cli
spf13,cobra,23900,https://www.github.com/spf13/cobra
alebcay,awesome-shell,22400,https://www.github.com/alebcay/awesome-shell
jesseduffield,lazygit,22000,https://www.github.com/jesseduffield/lazygit
google,python-fire,20400,https://www.github.com/google/python-fire
tqdm,tqdm,20000,https://www.github.com/tqdm/tqdm
sharkdp,fd,19500,https://www.github.com/sharkdp/fd
avajs,ava,19400,https://www.github.com/avajs/ava
vercel,pkg,19100,https://www.github.com/vercel/pkg
n8n-io,n8n,18800,https://www.github.com/n8n-io/n8n
ibraheemdev,modern-unix,17800,https://www.github.com/ibraheemdev/modern-unix
chalk,chalk,17400,https://www.github.com/chalk/chalk
vadimdemedes,ink,17100,https://www.github.com/vadimdemedes/ink
svg,svgo,16900,https://www.github.com/svg/svgo
urfave,cli,16800,https://www.github.com/urfave/cli
gpakosz,.tmux,15400,https://www.github.com/gpakosz/.tmux
allinurl,goaccess,14000,https://www.github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13800,https://www.github.com/FormidableLabs/webpack-dashboard
infinitered,ignite,13200,https://www.github.com/infinitered/ignite
jarun,nnn,12900,https://www.github.com/jarun/nnn
pomber,git-history,12700,https://www.github.com/pomber/git-history
