username,repo_name,stars,repo_url
vercel,next.js,76600,https://www.github.com/vercel/next.js
rust-lang,rust,60300,https://www.github.com/rust-lang/rust
webpack,webpack,59800,https://www.github.com/webpack/webpack
sveltejs,svelte,52500,https://www.github.com/sveltejs/svelte
gatsbyjs,gatsby,51700,https://www.github.com/gatsbyjs/gatsby
babel,babel,39900,https://www.github.com/babel/babel
parcel-bundler,parcel,39500,https://www.github.com/parcel-bundler/parcel
JetBrains,kotlin,39300,https://www.github.com/JetBrains/kotlin
evanw,esbuild,28700,https://www.github.com/evanw/esbuild
markedjs,marked,26300,https://www.github.com/markedjs/marked
vlang,v,25900,https://www.github.com/vlang/v
vercel,pkg,19100,https://www.github.com/vercel/pkg
v8,v8,18600,https://www.github.com/v8/v8
swc-project,swc,17400,https://www.github.com/swc-project/swc
AssemblyScript,assemblyscript,13000,https://www.github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12500,https://www.github.com/Konloch/bytecode-viewer
nim-lang,Nim,12100,https://www.github.com/nim-lang/Nim
ziglang,zig,11100,https://www.github.com/ziglang/zig
gopherjs,gopherjs,10600,https://www.github.com/gopherjs/gopherjs
RustPython,RustPython,9800,https://www.github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,9700,https://www.github.com/compiler-explorer/compiler-explorer
apache,tvm,7300,https://www.github.com/apache/tvm
JetBrains,kotlin-native,7100,https://www.github.com/JetBrains/kotlin-native
numba,numba,7000,https://www.github.com/numba/numba
elm,compiler,6600,https://www.github.com/elm/compiler
aalhour,awesome-compilers,6300,https://www.github.com/aalhour/awesome-compilers
Nuitka,Nuitka,6000,https://www.github.com/Nuitka/Nuitka
DoctorWkt,acwj,5700,https://www.github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5600,https://www.github.com/rescript-lang/rescript-compiler
lebab,lebab,5500,https://www.github.com/lebab/lebab
