username,repo_name,stars,repo_url
localstack,localstack,36500,https://www.github.com/localstack/localstack
harness,drone,24200,https://www.github.com/harness/drone
jenkinsci,jenkins,18100,https://www.github.com/jenkinsci/jenkins
auchenberg,volkswagen,12000,https://www.github.com/auchenberg/volkswagen
openshift,origin,8000,https://www.github.com/openshift/origin
gocd,gocd,6300,https://www.github.com/gocd/gocd
concourse,concourse,6000,https://www.github.com/concourse/concourse
theonedev,onedev,4800,https://www.github.com/theonedev/onedev
buildbot,buildbot,4700,https://www.github.com/buildbot/buildbot
Strider-CD,strider,4500,https://www.github.com/Strider-CD/strider
gaia-pipeline,gaia,4500,https://www.github.com/gaia-pipeline/gaia
jenkins-x,jx,4000,https://www.github.com/jenkins-x/jx
hygieia,hygieia,3700,https://www.github.com/hygieia/hygieia
xcpretty,xcpretty,3700,https://www.github.com/xcpretty/xcpretty
ovh,cds,3600,https://www.github.com/ovh/cds
cake-build,cake,3100,https://www.github.com/cake-build/cake
iterative,cml,2800,https://www.github.com/iterative/cml
werf,werf,2700,https://www.github.com/werf/werf
ligurio,awesome-ci,2700,https://www.github.com/ligurio/awesome-ci
tox-dev,tox,2500,https://www.github.com/tox-dev/tox
dancryer,PHPCI,2400,https://www.github.com/dancryer/PHPCI
TheLartians,ModernCppStarter,2300,https://www.github.com/TheLartians/ModernCppStarter
dreamans,syncd,2000,https://www.github.com/dreamans/syncd
houndci,hound,1900,https://www.github.com/houndci/hound
shivammathur,setup-php,1900,https://www.github.com/shivammathur/setup-php
fabric8io,fabric8,1800,https://www.github.com/fabric8io/fabric8
lastbackend,lastbackend,1500,https://www.github.com/lastbackend/lastbackend
nuke-build,nuke,1300,https://www.github.com/nuke-build/nuke
FlowCI,flow-core-x,1300,https://www.github.com/FlowCI/flow-core-x
k1LoW,tbls,1200,https://www.github.com/k1LoW/tbls
