username,repo_name,stars,repo_url
ansible,ansible,50700,https://www.github.com/ansible/ansible
trailofbits,algo,24100,https://www.github.com/trailofbits/algo
StreisandEffect,streisand,22600,https://www.github.com/StreisandEffect/streisand
bregman-arie,devops-exercises,19100,https://www.github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,11400,https://www.github.com/kubernetes-sigs/kubespray
ansible,awx,10400,https://www.github.com/ansible/awx
easzlab,kubeasz,7500,https://www.github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,5200,https://www.github.com/geerlingguy/ansible-for-devops
ansible-semaphore,semaphore,4500,https://www.github.com/ansible-semaphore/semaphore
rundeck,rundeck,4400,https://www.github.com/rundeck/rundeck
geerlingguy,mac-dev-playbook,4100,https://www.github.com/geerlingguy/mac-dev-playbook
KubeOperator,KubeOperator,4100,https://www.github.com/KubeOperator/KubeOperator
Tikam02,DevOps-Guide,4100,https://www.github.com/Tikam02/DevOps-Guide
ansible-community,molecule,3200,https://www.github.com/ansible-community/molecule
clong,DetectionLab,3200,https://www.github.com/clong/DetectionLab
opendevops-cn,opendevops,2900,https://www.github.com/opendevops-cn/opendevops
welliamcao,OpsManage,2800,https://www.github.com/welliamcao/OpsManage
werf,werf,2700,https://www.github.com/werf/werf
netbootxyz,netboot.xyz,2700,https://www.github.com/netbootxyz/netboot.xyz
ansible-community,ansible-lint,2600,https://www.github.com/ansible-community/ansible-lint
dev-sec,ansible-collection-hardening,2500,https://www.github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2500,https://www.github.com/alixaxel/chrome-aws-lambda
litmuschaos,litmus,2300,https://www.github.com/litmuschaos/litmus
roots,trellis,2300,https://www.github.com/roots/trellis
ansistrano,deploy,2100,https://www.github.com/ansistrano/deploy
openshift,openshift-ansible,2000,https://www.github.com/openshift/openshift-ansible
fboender,ansible-cmdb,2000,https://www.github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2000,https://www.github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,1900,https://www.github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,1900,https://www.github.com/Artemmkin/infrastructure-as-code-tutorial
